Numder,Content,Link
6,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Нижний Новгород
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048444&hhtmFrom=vacancy_search_list
7,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Краснодар
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048445&hhtmFrom=vacancy_search_list
8,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Воронеж
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048446&hhtmFrom=vacancy_search_list
9,"Backend Разработчик (Python)
Опыт 3-6 лет
АО МОСГАЗ
•Работодатель онлайн
Москва•Водный стадион
Разработка и поддержка серверной части веб-приложений на Python. Участие в проектировании архитектуры приложений с использованием фреймворков. Работа с базами...
Фреймворки и библиотеки: Опыт работы с фреймворками для backend разработки на Python, такими как Django, Flask или FastAPI.
Откликнитесь среди первых
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104340707&hhtmFrom=vacancy_search_list
10,"Программист-разработчик Python
Опыт 1-3 года
ТОО Prime Source
Астана
Написание и поддержка проекта. Оптимизация и рефакторинг существующего кода для повышения его производительности и качества. Создание и управление Docker-контейнерами...
Опыт работы с Python не менее 1-2 лет. Знание основных библиотек и фреймворков Python (например, Django, Flask, Pandas).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103969176&hhtmFrom=vacancy_search_list
11,"Middle Python developer
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.
Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=72687504&hhtmFrom=vacancy_search_list
12,"Разработчик Python
Опыт более 6 лет
Можно удалённо
ООО ИНФОМЕДИА
•Работодатель онлайн
Москва
Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы.
Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104131893&hhtmFrom=vacancy_search_list
13,"Middle Python Developer
Опыт 3-6 лет
ТОО AVIATA.KZ
Алматы
Разработка web части сайтов. Разработка REST сервисов. Разработка микросервисов . Разработка клиентов для работы со сторонними API. Написание unit тестов.
Уверенное знание Python и одного из web фреймворков (Django/Sanic/Flask/FastApi и прочие). Умение писать асинхронный код с использование...
Отклик без резюме
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102267678&hhtmFrom=vacancy_search_list
14,"Django Python Developer
Опыт 1-3 года
Можно удалённо
ООО Гринстер
Минск
Опыт работы с Django/Django REST. Глубокое понимание Django: разрешения, фильтры, Django ORM и т. д.. Понимание работы Celery, опыт...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104185794&hhtmFrom=vacancy_search_list
15,"Middle Разработчик Python (Backend)
180 000 – 240 000 ₽ на руки
Опыт 3-6 лет
ООО Корпорация ЗНАК
•Работодатель онлайн
Москва•Савёловская
Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...
Опыт разработки на Python не менее 3 лет, включая опыт работы с фреймворком(и) Flask, Django, FastAPI. Знание принципов ООП.
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103792323&hhtmFrom=vacancy_search_list
16,"Python разработчик
от 80 000 ₽ до вычета налогов
Опыт 1-3 года
ООО ПДВ
Ульяновск
Проектировать компоненты систем. Организовывать процесс разработки. Писать и ревьюить код.
Знаешь Python 3 и имеешь опыт промышленной разработки на Python. Имеешь опыт многопоточного и асинхронного программирования. Также имеешь опыт работы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103507464&hhtmFrom=vacancy_search_list
17,"Python-разработчик
200 000 – 220 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ООО Ритейл-Процессинг
Москва
Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.
Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104276440&hhtmFrom=vacancy_search_list
18,"Python - разработчик в AI компанию (удаленно)
150 000 – 150 000 ₽ на руки
Опыт 1-3 года
Университет искусственного интеллекта
•Работодатель онлайн
Санкт-Петербург
Аналитику продаж по каналам трафика (ROMI, CPL). Когортный анализ - как быстро трафик оборачивается в деньги. Аналитика результатов вебинаров - заявки, продажи.
...Python-разработчиком от 1 года. Python 3.7+. Python-библиотеки: Pandas 1.3+, Numpy. Django 2+, Flask...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101154908&hhtmFrom=vacancy_search_list
